age,country,music_style,favorite_artists,have_music_degree,track_memorized
20-29,中華民國,Hip-hop / Rap 嘻哈樂／饒舌樂,Dua Lipa/禁藥王/貝多芬,no,"-1,0,-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,1,0,-1,1,1,-1,1,-1,0,1,-1,0,1,0,-1,-1,1,-1,0,-1,1,-1,1,1,0,1,-1,1,-1,-1,0,-1,1,0,1,1,1,-1,0,1,1,1,-1,-1,-1,1,0,0,-1,-1,0,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,-1,1,-1,0,1,-1,-1,-1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,0,1,-1,-1,1,-1,1,1,1,0,-1,-1,-1,-1,1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1"
20-29,台灣,"Pop 流行樂, Classical 古典樂",米津玄師/愛繆/ヨルシカ,no,"-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,0,1,0,-1,-1,-1,1,-1,1,1,-1,0,-1,1,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,0,-1,1,0,-1,-1,-1,0,1,-1,0,0,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,0,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,0,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,1,1,-1,1,1,-1,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,0,-1,-1,0,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1"
20-29,台灣,"Pop 流行樂, Classical 古典樂, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂",蘇打綠、椅子樂團、徐佳瑩,no,"-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,0,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,1,0,0,0,1,-1,0,1,1,1,-1,1,1,-1,1,1,-1,0,0,-1,1,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,1,-1,1,0,-1,-1,0,0,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,1,0,-1,1,-1,0,-1,-1,-1,0,1,0,0,1,-1,0,0,0,-1,-1,0,-1,-1,1,1,-1,-1,1,1,-1,0,1,1,-1,0,1,0,1,1,0,-1,-1,1,1,1,-1,-1,1"
20-29,台灣,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Electronic Dance Music (EDM) 電音, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂, R & B / Soul 節奏藍調／靈魂樂",Justin Bieber/Taylor Swift/告五人,no,"-1,1,-1,1,1,-1,1,-1,-1,0,1,-1,1,1,1,0,1,-1,1,-1,-1,1,1,1,0,0,1,0,-1,1,0,-1,-1,-1,0,1,1,-1,-1,1,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,1,-1,1,-1,1,1,1,1,0,0,-1,1,0,-1,1,-1,1,1,0,-1,0,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,0,1,1,-1,-1,0,-1,1,1,-1,1,1,0,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,0,-1,1,-1,1,1,1,-1,1,-1,-1,-1,0,0,0,-1,1,1,1,-1,-1,0,-1,1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,0,-1,1,0,1,1,-1,-1,-1,-1,1,1,0,1,1,-1,-1,1,-1,1,0,-1,-1,0,-1,1,-1,0,1,0,-1,1,-1,0,1,0,-1,1,0,-1,1,-1,0,1,1,-1,-1,1,0,1,1,1,-1,1,-1,1,0,1,0,0"
20-29,台灣,"Pop 流行樂, R & B / Soul 節奏藍調／靈魂樂",Colde/n.flying/wave to earth,no,"-1,1,0,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,0,0,1,-1,-1,1,0,-1,0,1,0,1,-1,1,1,-1,1,-1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,0,-1,0,1,1,1,1,-1,1,0,-1,0,1,1,0,0,-1,-1,0,1,-1,1,1,-1,1,0,-1,1,-1,1,-1,1,-1,1,1,1,1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,1,0,-1,-1,-1,0,-1,1,0,0,-1,-1,0,1,-1,0,-1,1,-1,1,-1,1,1,0,1,1,0,1,1,1,-1,0,0,1,1,-1,-1,0,-1,1,1,1,1,1,-1,1,1,-1,0,0,1,-1,1,-1,-1,-1,1,0,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,0,-1,0,-1,1,0,1,1,1,0,1,1,0,0,-1,-1,1,1,1,-1,-1,-1,0,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,0,1,-1,1,-1,-1,1,0,0,-1,1,1"
20-29,臺灣,"Pop 流行樂, Folk / Country 民歌／鄉村歌曲, Electronic Dance Music (EDM) 電音, Jazz/Blues 爵士樂／藍調","米津玄師，Sasha Alex Sloan, 告五人",no,"1,-1,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,1,0,-1,-1,1,0,1,0,1,0,1,-1,1,1,-1,0,1,-1,0,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,1,1,-1,1,1,0,1,-1,-1,-1,1,-1,1,1,0,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,0,0,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,0,-1,1,1,-1,-1,1,1,0,0,1,1,-1,0,1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,0,-1,1,-1,-1,1,1,1,1,-1,-1,1,1"
20-29,台灣,"Pop 流行樂, Electronic Dance Music (EDM) 電音, Hip-hop / Rap 嘻哈樂／饒舌樂",IU/The Chainsmoke/Akdong Musician,no,"-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,0,-1,0,-1,-1,1,-1,-1,-1,-1,0,-1,0,-1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,0,1,0,-1,-1,-1,1,1,-1,1,1,1,-1,1,0,1,0,1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,0,1,-1,1,-1,-1,1,-1,1,-1"
20-29,台灣,"Pop 流行樂, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂, R & B / Soul 節奏藍調／靈魂樂",熊仔／田馥甄／YOASOBI,no,"-1,1,1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,-1,1,1,-1,0,-1,1,-1,1,1,1,1,1,-1,1,1,1,0,-1,-1,1,1,0,-1,1,0,-1,1,1,0,-1,1,0,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,0,-1,-1,0,1,1,-1,-1,0,1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,0,1,-1,-1,-1,0,1,-1,0,1,-1,0,0,0,1,0,-1,0,0,0,-1,-1,-1,0,1,1,-1,1,1,-1,0,-1,0,0,1,0,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,1,1,1,-1,1,0,0,-1,1,-1,1,1,1,1,1,-1,1,0,0,-1,0,1,0,-1,-1,-1,-1,0,0,0,-1,-1,0,1,1,1,1,0,0,1,-1,0,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,1,1,0,-1,1,0,-1,0,-1,-1,-1,1,0,0,0,1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,0,1"
20-29,台灣,"Pop 流行樂, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂",韋禮安/好樂團/理想混蛋,no,"-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,-1"
20-29,台灣,Pop 流行樂,雙笙/毛不易/太一,no,"-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,0,-1,-1,0,1,0,-1,1,-1,1,-1,-1,1,1,0,-1,-1,1,-1,-1,-1,0,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,1,0,-1,1,1,1,0,1,-1,1,-1,1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,0,-1,-1,0,-1,1,1,0,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,0,-1,1,-1,1,-1,1,1,0,-1,1,-1,-1,1,1,0,-1,-1,1,1,0,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,1"
20-29,台灣,"Pop 流行樂, Hip-hop / Rap 嘻哈樂／饒舌樂, Indie Rock 獨立音樂",草東沒有派對/ J.Sheon／五月天,no,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,0,0,-1,1,0,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,1,0,1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,1,0,0,-1,0,-1,1,-1,-1,0,-1,0,1,0,1,-1,-1,-1,-1,0,-1,0,0,-1,1,0,-1,1,0,1,-1,1,1,-1,-1,0,-1,-1,0,0,0,0,0,-1,1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,0,-1,0,0,-1,1,-1,-1,-1,0,0,0,0,1,-1,1,-1,0,0,0,1,-1,-1,-1,1,1,0,1,-1,0,0,-1,-1,0,1,0,0,1,1,1"
